School,Mens Soccer Roster URL,Mens Soccer Statistics URL
UNCW,https://uncwsports.com/sports/mens-soccer/roster/2025,https://uncwsports.com/sports/mens-soccer/stats
LIU,https://www.liuathletics.com/sports/mens-soccer/roster/2025,https://www.liuathletics.com/sports/mens-soccer/stats
Dartmouth,https://dartmouthsports.com/sports/mens-soccer/roster/2025,https://dartmouthsports.com/sports/mens-soccer/stats
Marquette,https://gomarquette.com/sports/mens-soccer/roster/2025,https://gomarquette.com/sports/mens-soccer/stats
UNLV,https://unlvrebels.com/sports/mens-soccer/roster/2025,https://unlvrebels.com/sports/mens-soccer/stats
Oral Roberts,https://oruathletics.com/sports/mens-soccer/roster/2025,https://oruathletics.com/sports/mens-soccer/stats
Colgate,https://colgateathletics.com/sports/mens-soccer/roster/2025,https://colgateathletics.com/sports/mens-soccer/stats
Rhode Island,https://gorhody.com/sports/mens-soccer/roster/2025,https://gorhody.com/sports/mens-soccer/stats
Green Bay,https://greenbayphoenix.com/sports/mens-soccer/roster/2025,https://greenbayphoenix.com/sports/mens-soccer/stats
Bowling Green,https://bgsufalcons.com/sports/mens-soccer/roster/2025,https://bgsufalcons.com/sports/mens-soccer/stats
Yale,https://yalebulldogs.com/sports/mens-soccer/roster/2025,https://yalebulldogs.com/sports/mens-soccer/stats
Saint Mary's (CA),https://smcgaels.com/sports/mens-soccer/roster/2025,https://smcgaels.com/sports/mens-soccer/stats
Omaha,https://omavs.com/sports/mens-soccer/roster/2025,https://omavs.com/sports/mens-soccer/stats
Northeastern,https://nuhuskies.com/sports/mens-soccer/roster/2025,https://nuhuskies.com/sports/mens-soccer/stats
Saint Joseph's,https://sjuhawks.com/sports/mens-soccer/roster/2025,https://sjuhawks.com/sports/mens-soccer/stats
Purdue Fort Wayne,https://gomastodons.com/sports/mens-soccer/roster/2025,https://gomastodons.com/sports/mens-soccer/stats
Liberty,https://libertyflames.com/sports/mens-soccer/roster/2025,https://libertyflames.com/sports/mens-soccer/stats
Presbyterian,https://gobluehose.com/sports/mens-soccer/roster/2025,https://gobluehose.com/sports/mens-soccer/stats
Memphis,https://gotigersgo.com/sports/mens-soccer/roster/2025,https://gotigersgo.com/sports/mens-soccer/stats
Central Arkansas,https://ucasports.com/sports/mens-soccer/roster/2025,https://ucasports.com/sports/mens-soccer/stats
UNC Asheville,https://uncabulldogs.com/sports/mens-soccer/roster/2025,https://uncabulldogs.com/sports/mens-soccer/stats
Quinnipiac,https://gobobcats.com/sports/mens-soccer/roster/2025,https://gobobcats.com/sports/mens-soccer/stats
Niagara,https://purpleeagles.com/sports/mens-soccer/roster/2025,https://purpleeagles.com/sports/mens-soccer/stats
Loyola Chicago,https://loyolaramblers.com/sports/mens-soccer/roster/2025,https://loyolaramblers.com/sports/mens-soccer/stats
Utah Tech,https://utahtechtrailblazers.com/sports/mens-soccer/roster/2025,https://utahtechtrailblazers.com/sports/mens-soccer/stats
Coastal Carolina,https://goccusports.com/sports/mens-soccer/roster/2025,https://goccusports.com/sports/mens-soccer/stats
Robert Morris,https://rmucolonials.com/sports/mens-soccer/roster/2025,https://rmucolonials.com/sports/mens-soccer/stats
UC Davis,https://ucdavisaggies.com/sports/mens-soccer/roster/2025,https://ucdavisaggies.com/sports/mens-soccer/stats
UMBC,https://umbcretrievers.com/sports/mens-soccer/roster/2025,https://umbcretrievers.com/sports/mens-soccer/stats
Loyola Maryland,https://loyolagreyhounds.com/sports/mens-soccer/roster/2025,https://loyolagreyhounds.com/sports/mens-soccer/stats
USC Upstate,https://upstatespartans.com/sports/mens-soccer/roster/2025,https://upstatespartans.com/sports/mens-soccer/stats
Butler,https://butlersports.com/sports/mens-soccer/roster/2025,https://butlersports.com/sports/mens-soccer/stats
Saint Francis,https://sfuathletics.com/sports/mens-soccer/roster/2025,https://sfuathletics.com/sports/mens-soccer/stats
Wofford,https://woffordterriers.com/sports/mens-soccer/roster/2025,https://woffordterriers.com/sports/mens-soccer/stats
UC San Diego,https://ucsdtritons.com/sports/mens-soccer/roster/2025,https://ucsdtritons.com/sports/mens-soccer/stats
Queens (NC),https://queensathletics.com/sports/mens-soccer/roster/2025,https://queensathletics.com/sports/mens-soccer/stats
La Salle,https://goexplorers.com/sports/mens-soccer/roster/2025,https://goexplorers.com/sports/mens-soccer/stats
CSUN,https://gomatadors.com/sports/mens-soccer/roster/2025,https://gomatadors.com/sports/mens-soccer/stats
SIUE,https://siuecougars.com/sports/mens-soccer/roster/2025,https://siuecougars.com/sports/mens-soccer/stats
Eastern Illinois,https://eiupanthers.com/sports/mens-soccer/roster/2025,https://eiupanthers.com/sports/mens-soccer/stats
IU Indy,https://iuindyjags.com/sports/mens-soccer/roster/2025,https://iuindyjags.com/sports/mens-soccer/stats
Mercer,https://mercerbears.com/sports/mens-soccer/roster/2025,https://mercerbears.com/sports/mens-soccer/stats
Georgia State,https://georgiastatesports.com/sports/mens-soccer/roster/2025,https://georgiastatesports.com/sports/mens-soccer/stats
William & Mary,https://tribeathletics.com/sports/mens-soccer/roster/2025,https://tribeathletics.com/sports/mens-soccer/stats
Manhattan,https://gojaspers.com/sports/mens-soccer/roster/2025,https://gojaspers.com/sports/mens-soccer/stats
UIW,https://uiwcardinals.com/sports/mens-soccer/roster/2025,https://uiwcardinals.com/sports/mens-soccer/stats
Lipscomb,https://lipscombsports.com/sports/mens-soccer/roster/2025,https://lipscombsports.com/sports/mens-soccer/stats
Holy Cross,https://goholycross.com/sports/mens-soccer/roster/2025,https://goholycross.com/sports/mens-soccer/stats
NJIT,https://njithighlanders.com/sports/mens-soccer/roster/2025,https://njithighlanders.com/sports/mens-soccer/stats
Pacific,https://pacifictigers.com/sports/mens-soccer/roster/2025,https://pacifictigers.com/sports/mens-soccer/stats
CSU Bakersfield,https://gorunners.com/sports/mens-soccer/roster/2025,https://gorunners.com/sports/mens-soccer/stats
UC Riverside,https://gohighlanders.com/sports/mens-soccer/roster/2025,https://gohighlanders.com/sports/mens-soccer/stats
Binghamton,https://bubearcats.com/sports/mens-soccer/roster/2025,https://bubearcats.com/sports/mens-soccer/stats
Temple,https://owlsports.com/sports/mens-soccer/roster/2025,https://owlsports.com/sports/mens-soccer/stats
DePaul,https://depaulbluedemons.com/sports/mens-soccer/roster/2025,https://depaulbluedemons.com/sports/mens-soccer/stats
Detroit Mercy,https://detroittitans.com/sports/mens-soccer/roster/2025,https://detroittitans.com/sports/mens-soccer/stats
Le Moyne,https://lemoynedolphins.com/sports/mens-soccer/roster/2025,https://lemoynedolphins.com/sports/mens-soccer/stats
Bradley,https://bradleybraves.com/sports/mens-soccer/roster/2025,https://bradleybraves.com/sports/mens-soccer/stats
Milwaukee,https://mkepanthers.com/sports/mens-soccer/roster/2025,https://mkepanthers.com/sports/mens-soccer/stats
Northern Kentucky,https://nkunorse.com/sports/mens-soccer/roster/2025,https://nkunorse.com/sports/mens-soccer/stats
Longwood,https://longwoodlancers.com/sports/mens-soccer/roster/2025,https://longwoodlancers.com/sports/mens-soccer/stats
Western Illinois,https://goleathernecks.com/sports/mens-soccer/roster/2025,https://goleathernecks.com/sports/mens-soccer/stats
Southern Indiana,https://usiscreamingeagles.com/sports/mens-soccer/roster/2025,https://usiscreamingeagles.com/sports/mens-soccer/stats
Mount St. Mary's,https://mountathletics.com/sports/mens-soccer/roster/2025,https://mountathletics.com/sports/mens-soccer/stats
St. Bonaventure,https://gobonnies.com/sports/mens-soccer/roster/2025,https://gobonnies.com/sports/mens-soccer/stats
Saint Peter's,https://saintpeterspeacocks.com/sports/mens-soccer/roster/2025,https://saintpeterspeacocks.com/sports/mens-soccer/stats
Oakland,https://goldengrizzlies.com/sports/mens-soccer/roster/2025,https://goldengrizzlies.com/sports/mens-soccer/stats
Sacramento State,https://hornetsports.com/sports/mens-soccer/roster/2025,https://hornetsports.com/sports/mens-soccer/stats
Canisius,https://gogriffs.com/sports/mens-soccer/roster/2025,https://gogriffs.com/sports/mens-soccer/stats
Rider,https://gobroncs.com/sports/mens-soccer/roster/2025,https://gobroncs.com/sports/mens-soccer/stats
New Haven,https://newhavenchargers.com/sports/mens-soccer/roster/2025,https://newhavenchargers.com/sports/mens-soccer/stats
UTRGV,https://goutrgv.com/sports/mens-soccer/roster/2025,https://goutrgv.com/sports/mens-soccer/stats
Stonehill,https://stonehillskyhawks.com/sports/mens-soccer/roster/2025,https://stonehillskyhawks.com/sports/mens-soccer/stats
Merrimack,https://merrimackathletics.com/sports/mens-soccer/roster/2025,https://merrimackathletics.com/sports/mens-soccer/stats
Wright State,https://wsuraiders.com/sports/mens-soccer/roster/2025,https://wsuraiders.com/sports/mens-soccer/stats
ETSU,https://etsubucs.com/sports/mens-soccer/roster/2025,https://etsubucs.com/sports/mens-soccer/stats
Radford,https://radfordathletics.com/sports/mens-soccer/roster/2025,https://radfordathletics.com/sports/mens-soccer/stats
George Washington,https://gwsports.com/sports/mens-soccer/roster/2025,https://gwsports.com/sports/mens-soccer/stats
Air Force,https://goairforcefalcons.com/sports/mens-soccer/roster/2025,https://goairforcefalcons.com/sports/mens-soccer/stats
Navy,https://navysports.com/sports/mens-soccer/roster/2025,https://navysports.com/sports/mens-soccer/stats
Howard,https://hubison.com/sports/mens-soccer/roster/2025,https://hubison.com/sports/mens-soccer/stats
Mercyhurst,https://hurstathletics.com/sports/mens-soccer/roster/2025,https://hurstathletics.com/sports/mens-soccer/stats
Winthrop,https://winthropeagles.com/sports/mens-soccer/roster/2025,https://winthropeagles.com/sports/mens-soccer/stats
VMI,https://vmikeydets.com/sports/mens-soccer/roster/2025,https://vmikeydets.com/sports/mens-soccer/stats
Chicago State,https://www.gocsucougars.com/sports/mens-soccer/roster/2025,https://www.gocsucougars.com/sports/mens-soccer/stats
Central Connecticut State,https://ccsubluedevils.com/sports/msoc/2025-26/roster?jsRendering=true,https://ccsubluedevils.com/sports/msoc/2025-26/teams/centralconnst?view=lineup
